Type,ID,Title/Message,State,Author,Created At,Closed/Merged At,Labels/Files Changed,Commits,Additions,Deletions,Changed Files,All Checks Passed
Commit,ce170852ddb0027764d893aa435ff67a2b2a582f,"Update authors list as October 23, 2021

`git shortlog -sn | cut -c8-`",,ppigazzini,2021-10-23 18:04:25,,AUTHORS,,,,,True
Commit,f226c68895273d02bec46ff9040f9417fb2109e5,"Redesign

- Dark theme changes
  - Dark theme buttons
  - Dark theme diff
  - Softer elo results colors
  - Added variables

- Table changes
  - Sticky headers
  - Nested scrollbars in machines and tasks
  - Aligned run date and diff

- Icons
  - Added Fontawesome icons in navbar and diff

- Other changes
  - Buttons before text in tests
  - Removed some inline styles
  - Added classes
  - Changed pagination
  - Custom scrollbars
  - Scrollable navbar
  - Changed links color to green
  - Bigger elo-results inside test view
  - CSS fixes",,dav7445,2021-10-23 17:21:26,,"server/fishtest/static/css/application.css,server/fishtest/static/css/theme.dark.css,server/fishtest/static/img/clipboard.png,server/fishtest/templates/actions.mak,server/fishtest/templates/base.mak,server/fishtest/templates/machines_table.mak,server/fishtest/templates/nns.mak,server/fishtest/templates/run_table.mak,server/fishtest/templates/run_tables.mak,server/fishtest/templates/tests.mak,server/fishtest/templates/tests_view.mak,server/fishtest/templates/users.mak",,,,,True
Commit,86855326f25af8974c451321a65e8e1a87e0f410,Raise worker version to 119 (also server side),,ppigazzini,2021-10-23 14:33:34,,"server/fishtest/api.py,worker/games.py,worker/worker.py",,,,,True
Commit,54d23e8c15606ed0d727f4872d760b14b21497a3,"Run cutechess-cli with the option ""-recover"".

In that way crashes should be recorded correctly and matches
should finish cleanly.",,Michel Van den Bergh,2021-10-23 08:25:22,,worker/games.py,,,,,True
Commit,95da871d4f1186ebe6b8624e94f6992ec38bfefe,Code clean up,,ppigazzini,2021-10-22 22:48:27,,"worker/games.py,worker/test_worker.py,worker/updater.py,worker/worker.py",,,,,True
Commit,003774c40ed3fcbe631ee31d3e8c01ee844687f6,"Raise worker version to 118 (also server side)

Format with:
```
black --exclude='env|packages' .
isort --profile black --skip env --skip venv --skip worker/packages .
```",,ppigazzini,2021-10-22 16:24:35,,"server/fishtest/api.py,worker/games.py,worker/worker.py",,,,,True
Commit,d48d7b90e30a9e15b7eb42c3418fe940132cf7e3,"Use the subprocess context manager

The context manager in the `.__exit__()` automatically:
 - closes the standard file descriptors
 - waits the process

Use `OSerror` and `SubprocessError` to catch an exception
from the context `.__enter__()`:
```
try:
  with Popen() as p:
     <body>
except (OSError, SubprocessError) as e:
   <handle exception in Popen()>
```

Use `ExitStack()` to deal with conditional context managers.",,ppigazzini,2021-10-21 02:37:38,,"worker/games.py,worker/worker.py",,,,,True
Commit,56230023672d1eb60fcc62aedf99b53d21750304,Upload pgn file also for tasks that weren't finished.,,Michel Van den Bergh,2021-10-21 17:38:57,,"worker/games.py,worker/worker.py",,,,,True
Commit,700344d2ef1305d730ac1c1256c8ac0c9a03e897,Use again a generic message in the action log if a get request fails.,,Michel Van den Bergh,2021-10-21 17:47:33,,worker/games.py,,,,,True
Commit,5bcc3bf759d1834891e2e50f200077243c6f123c,Add .python-version to .gitignore,,ppigazzini,2021-10-22 15:30:27,,.gitignore,,,,,True
Commit,7f08334284c068e904b379a5af5e1ac0301fc134,Add default virtual env used by black,,ppigazzini,2021-10-22 13:31:11,,.gitignore,,,,,True
Commit,4a76af0e7e710c27519b780c1ce2f3fc59ffe6c9,Set python 3.9 for Pyramid in Github actions,,ppigazzini,2021-10-21 16:39:42,,".github/workflows/main.yaml,.gitignore",,,,,True
Commit,f970be2289c445cb42cf9a6c76edce7e8841bef2,Raise worker version to 117 (also server side),,ppigazzini,2021-10-21 02:39:10,,"server/fishtest/api.py,worker/worker.py",,,,,True
Commit,2059874da208f7cffefb1857c71d464aec5eb76f,"Do not mask Ctrl-C when wrapping a call.

With this PR the correct message is used even if the user
presses Ctrl-C (in which case ""Terminated by signal"" is used).
This is done by equipping WorkerException with an optional
argument e. If e is of the type WorkerException or a subclass
of it then it will be forwarded. We use some __new__ hackery for this.

This PR establishes a pattern for cases where forwarding inner
exceptions is useful.

We use it at three places

- in requests_get()
- in requests_post()
- while wrapping the main make command.

Also for consistency: two more FatalException when handling cutechess.",,Michel Van den Bergh,2021-10-20 04:32:45,,worker/games.py,,,,,True
Commit,a21e4ac332f1158927fc7120bd30dd9e6c32b9ab,"Kill process only if still running

Otherwise simply close in proper way the subprocess object.

Also on Windows mute the ""taskkill"" stdout and stderr.",,ppigazzini,2021-10-20 10:09:20,,worker/games.py,,,,,True
Commit,e0eb8b84c5c6b2a9b83b58ee364c8dea36f67c20,"Use new GitHub Rate Limit API object

The ""rate"" object is deprecated.
The ""core"" object contains the same information presents in the ""rate"" object.
https://docs.github.com/en/rest/reference/rate-limit",,ppigazzini,2021-10-19 23:42:45,,worker/worker.py,,,,,True
Commit,b8b2408d15dbc0399a201ac3003a313891458127,"For a failed get_request use the exception in the error message.

I don't want to do this for post requests since I am afraid it may
expose passwords. Even if it does not now it may do so in future
versions of the requests module.

Raise an exception on http status codes >= 400.

This is apparently not done by default by the requests
module. See

https://stackoverflow.com/questions/16511337/correct-way-to-try-except-using-python-requests-module

for background.

See https://en.wikipedia.org/wiki/List_of_HTTP_status_codes
for http status codes.",,Michel Van den Bergh,2021-10-19 05:25:56,,worker/games.py,,,,,True
Commit,a0791a7d738c42b1ca0dc5ac7008126fdc5956a4,Restrict the length of failed task message to 256 characters.,,Michel Van den Bergh,2021-10-20 13:48:59,,server/fishtest/rundb.py,,,,,True
Commit,d45c54590b93826bb5e91a11670240579439cb78,"Include timeout in get request for downloading net.

The default timeout is None, which means: wait forever.",,Michel Van den Bergh,2021-10-19 07:59:11,,worker/games.py,,,,,True
Commit,1729e05aedf5845b895834f3e5e7170c83f2bf18,Update home page links names,,ppigazzini,2021-10-19 21:49:58,,server/fishtest/templates/base.mak,,,,,True
Commit,38cd28ebcbacbcf31fe6943e401b9585a92e8f81,Use the same heading style for all pages,,ppigazzini,2021-10-19 09:26:56,,"server/fishtest/templates/actions.mak,server/fishtest/templates/login.mak,server/fishtest/templates/nn_upload.mak,server/fishtest/templates/nns.mak,server/fishtest/templates/pending.mak,server/fishtest/templates/signup.mak,server/fishtest/templates/tests_finished.mak,server/fishtest/templates/tests_run.mak,server/fishtest/templates/tests_user.mak,server/fishtest/templates/user.mak,server/fishtest/templates/users.mak",,,,,True
Commit,19247e1c6e3a3c0130794c936595c16c684827b7,Raise worker version to 116 (also server side),,ppigazzini,2021-10-18 20:37:52,,"server/fishtest/api.py,worker/worker.py",,,,,True
Commit,c9d4e41b46b0c9021a7537dd0cb2f391cfc18012,Simplify os.join() syntax,,ppigazzini,2021-10-18 20:47:20,,"worker/setup.py,worker/updater.py",,,,,True
Commit,6d72dc2dd20884717f5b82916c835040d444819a,"WorkerExceptions for get and post requests.

We define wrappers requests_get() and requests_post() around
requests.get() and requests.post().",,Michel Van den Bergh,2021-10-18 17:58:43,,worker/games.py,,,,,True
Commit,0dadf5fa184bd2cf59d9eab244e959aacf6e38ec,"Drop Python2 support from worker

Also format the code with:
```
black --exclude=worker/packages .
isort --profile black --skip worker/packages .
```",,ppigazzini,2021-10-18 00:18:14,,"server/fishtest/actiondb.py,server/fishtest/rundb.py,worker/games.py,worker/test_worker.py,worker/updater.py,worker/worker.py",,,,,True
Commit,553a8847cce1851b589f87e020efbfd4aa78d2f9,"Stop worker if another is running in the folder

We called setup_engine() because the engine was not cached.
Only another worker running in the same directory can have built the engine.
There is still a little probability of race condition
between the existence check and the move of the file.

A proper solution to the problem of multiple workers running in the same
directory requires a check at the start of the worker (eg using a file lock).

While here build the source code path with the robust way used in updater.",,ppigazzini,2021-10-18 16:03:11,,worker/games.py,,,,,True
Commit,1c99394a3bae31383325d9093d1553c3fb7fb913,"Make assertion about clean finish into an exception.

It turns out that it may happen that a match finishes uncleanly.",,Michel Van den Bergh,2021-10-18 07:45:41,,worker/games.py,,,,,True
Commit,01f44de8fb78cda950a918c291179684a4d717e0,Add a comment why there is no failed_task message after stop_run.,,Michel Van den Bergh,2021-10-18 06:58:38,,worker/games.py,,,,,True
Commit,28a8f8eafe0415c38342a2c027540880be1b588f,"Make implicit exceptions (of the type filename:fileno) fatal.

This is again to prevent flooding. Such exceptions are likely
to be unrecoverable.",,Michel Van den Bergh,2021-10-18 05:36:36,,worker/worker.py,,,,,True
Commit,1a034f90c4da1fbfcdb983cf038f4014fc29ef82,"Increase the maximum retry time from 4 minutes to 4 hours.

To reduce possible flooding by fleets...",,Michel Van den Bergh,2021-10-18 05:18:26,,worker/worker.py,,,,,True
Commit,e6f2f7a04c82b582baf7e074049847156246a96e,Raise worker version to 115 (also server side),,ppigazzini,2021-10-17 21:47:17,,"server/fishtest/api.py,worker/worker.py",,,,,True
Commit,52e600ac37850b57258afceb0bb737e10612162d,"FatalException with not working cutechess-cli

And lower the minimum nps to accept some slow workers",,ppigazzini,2021-10-17 21:23:17,,worker/games.py,,,,,True
Commit,c329f922491799e49cfcca69ac20704352fdb9dd,Raise worker version to 114 (also server side),,ppigazzini,2021-10-17 20:32:46,,"server/fishtest/api.py,worker/worker.py",,,,,True
Commit,fc42c4430173ad0b5346f60f3071e3eee34cc816,"Give server feedback for failed tasks.

Post a message in the server log.

Post a message in the actiondb.

Introduce ""WorkerException"" for standard exceptions.

One does not want record all exceptions on the server since
this would include things like syntax errors, potentially even
leading to privacy issues.

If one raises WorkerException(reason) in run_games() then the reason will
be recorded on the server using the ""failed_task"" api. Exceptions caused
by syntax errors etc... are of course not of the type WorkerException.
Such exceptions will be recorded on the server with the file name and
the line number where the exception occurred.

Also: fix a bug in pgn uploading created by the last commit.",,Michel Van den Bergh,2021-10-17 04:27:33,,"server/fishtest/actiondb.py,server/fishtest/api.py,server/fishtest/rundb.py,server/fishtest/templates/actions.mak,server/fishtest/views.py,worker/games.py,worker/test_worker.py,worker/worker.py",,,,,True
Commit,b284b6d222b560ea29592d9eb06c70c16f2b24f2,Put a comment in worker.py with a bird's eye view of the worker.,,Michel Van den Bergh,2021-10-17 07:15:39,,worker/worker.py,,,,,True
Commit,5f232eb7cd9fc95102f68c8d99434a6d2a2563a4,remove from __future__ imports,,Tom Vijlbrief,2021-10-16 07:23:09,,"worker/games.py,worker/updater.py,worker/worker.py",,,,,True
Commit,0c65a9f104a340c970dbad5c743d464f07cead0c,"Raise worker version to 113 (also server side)

Also reformat with:
```
black --exclude=worker/packages .
isort --profile black --skip worker/packages .
```",,ppigazzini,2021-10-15 17:41:39,,"server/fishtest/api.py,server/fishtest/util.py,worker/test_worker.py,worker/worker.py",,,,,True
Commit,ed51edfc5efc89863c8b4b850589dd6066a6a3a6,"More refactorings.

Retire worker_exit() which used to be an alias for
the os._exit() and which was called at a number of
places.

Move all parsing of parameters to setup_config_file()
and document the various stages of parsing (Step 1,
Step 2, etc...).

Rename setup_config_file() to setup_parameters().

Eliminate the global variable ""config"".

Rename main() to worker().

Return codes are now obtained via sys.exit(worker()).

Emulate the old return code behaviour: I.e.
always return 1 except when using --only_config
or the fish.exit file.

Introduce a ""FatalException"". When raised inside
run_games() it leads to an immediate, but clean, exit
of the worker. This is used in case a slow worker
is detected. It replaces a former call to worker_exit().

Add comments at the beginning of fetch_and_handle_task()
and run_games() about how to properly handle unusual
conditions.

Make the default cpu_count a bit adaptive (but
keep the maximum 3).

Refactor adjust_tc.

Cosmetic tweaks to obtain nicer output:
Remove \n from ""Worker started in ..."".
Remove \n from ""No tasks available, waiting ..."".
Remove \n from ""Found: cutechess-cli 1.2.0"".

Give feedback that a config file is written.",,Michel Van den Bergh,2021-10-12 23:26:56,,"worker/games.py,worker/test_worker.py,worker/worker.py",,,,,True
Commit,4e397467948cc9293d9ee3147135ee9c7a2f35bf,Raise worker version to 112 server side,,ppigazzini,2021-10-14 18:43:15,,server/fishtest/api.py,,,,,True
Commit,8f93e5dd1a8f1c1330758d36684db50c43432b82,Raise worker version to 112,,ppigazzini,2021-10-14 12:24:16,,worker/worker.py,,,,,True
Commit,d2a3c406119b0de78f8de72637aa3147dcb0a944,"Use the same template for exceptions

Some cleanup while here.",,ppigazzini,2021-10-11 07:47:18,,"worker/games.py,worker/test_worker.py,worker/updater.py,worker/worker.py",,,,,True
Commit,f87debf2516df269e3500d3a23cbb658c2aee63e,"Various cleanups and refactorings.

FLEET is renamed ""fleet"". It turns out that it does not need
to be global.

ALIVE, RUN and TASK_ID are packed in a dictionary ""current_state""
which is passed as a parameter to the subroutines that need it.

Extra comments in main() documenting the various initialization
stages.

Remove some useless delays from worker.py:worker(). There is already
a delay in the main loop. As a bonus worker() no longer needs to
know about the fleet variable.

Finish the main loop cleanly without invoking os._exit().

Make Ctrl-C work immediately in all cases.

Rename worker() as fetch_and_handle_task().",,Michel Van den Bergh,2021-10-11 19:32:42,,worker/worker.py,,,,,True
Commit,eebb51fbee7e1144e9a36e9170488ce51c7d4b8a,"Eliminate the global variable ""rate"" in the worker.",,Michel Van den Bergh,2021-10-11 17:11:37,,worker/worker.py,,,,,True
Commit,278a946a191fed9e2d45f5258b0fd93c846dc382,"Styling tweaks for 'create new test' page

Use form-control class for better-looking text inputs

Use form-control on more text inputs

Make inputs smaller on this page

Style select boxes too

Style checkboxes

Clicking checkbox labels toggles checkboxes

Make the info button small

Some spacing adjustments

Fix num games input width

Reference time odds checkbox by id, fix some styling

Fit within container width when toggling time odds

Reduce stop rule min height

Some spacing fixes

More spacing tweaks

Some dark mode css changes

More dark mode fixes",,Linmiao Xu,2021-10-04 14:32:11,,"server/fishtest/static/css/theme.dark.css,server/fishtest/templates/tests_run.mak",,,,,True
Commit,d496fe7e54db008ea7284e2f56744850b60e765b,Add explanatory comments about the computation of residuals.,,Michel Van den Bergh,2021-10-06 09:04:03,,server/fishtest/util.py,,,,,True
Commit,912ecc6f3037447f3173d82b8a3f4ea395cdfec8,"Fix typo in string format

Thanks to @zungur",,ppigazzini,2021-10-05 21:37:01,,server/fishtest/stats/sprt.py,,,,,True
Commit,4e3ae022fd515ce8d1e667aede48e370a535186e,Use new string format,,ppigazzini,2021-10-04 15:25:00,,"server/fishtest/rundb.py,server/fishtest/stats/sprt.py,server/fishtest/templates/tests_view.mak,server/fishtest/userdb.py,server/fishtest/util.py,server/fishtest/views.py",,,,,True
Commit,f8c79daa88ebd87b9831574e55402f0672b9ee5c,"Auto format files with black and isort

```
black --exclude=worker/packages .
isort --profile black --skip worker/packages .
```",,ppigazzini,2021-10-04 11:23:37,,"server/fishtest/__init__.py,server/fishtest/api.py,server/fishtest/rundb.py,server/fishtest/util.py,server/fishtest/views.py,server/tests/test_api.py,server/tests/test_rundb.py,worker/games.py",,,,,True
